HCPCS,MOD,DESCRIPTION,STATUS
A4415,,Ost skn barr w/o conv >4 sqi,X
A4416,,Ost pch clsd w barrier/filtr,X
A4417,,Ost pch w bar/bltinconv/fltr,X
A4418,,Ost pch clsd w/o bar w filtr,X
A4419,,Ost pch for bar w flange/flt,X
A4420,,Ost pch clsd for bar w lk fl,X
A4421,,Ostomy supply misc,X
A4422,,Ost pouch absorbent material,X
A4423,,Ost pch for bar w lk fl/fltr,X
A4424,,Ost pch drain w bar & filter,X
A4425,,Ost pch drain for barrier fl,X
A4426,,Ost pch drain 2 piece system,X
A4427,,Ost pch drain/barr lk flng/f,X
A4428,,Urine ost pouch w faucet/tap,X
A4429,,Urine ost pouch w bltinconv,X
A4430,,Ost urine pch w b/bltin conv,X
A4431,,Ost pch urine w barrier/tapv,X
A4432,,Os pch urine w bar/fange/tap,X
A4433,,Urine ost pch bar w lock fln,X
A4434,,Ost pch urine w lock flng/ft,X
A4435,,1pc ost pch drain hgh output,X
A4436,,Irr supply sleev reus per mo,P
A4437,,Irr supply sleev disp per mo,P
A4450,,Non-waterproof tape,X
A4452,,Waterproof tape,X
A4453,,Rec cath man pump enema repl,X
A4455,,Adhesive remover per ounce,P
A4456,,"Adhesive remover, wipes",X
A4457,,Enema tube any type repl,N
A4458,,Reusable enema bag,X
A4459,,"Manual pump enema, reusable",X
A4461,,Surgicl dress hold non-reuse,X
A4463,,Surgical dress holder reuse,X
A4465,,Non-elastic extremity binder,P
A4467,,Belt strap sleev grmnt cover,N
A4468,,Exsuff belt incl all sup acc,N
A4470,,Gravlee jet washer,P
A4480,,Vabra aspirator,P
A4481,,Tracheostoma filter,X
A4483,,Moisture exchanger,X
A4490,,Above knee surgical stocking,N
A4495,,Thigh length surg stocking,N
A4500,,Below knee surgical stocking,N
A4510,,Full length surg stocking,N
A4520,,Incontinence garment anytype,N
A4540,,Trans elec nerv periph nerv,N
A4541,,Monthly supp use with e0733,X
A4542,,Supp ext up limb tremor stim,X
A4550,,Surgical trays,B
A4553,,"Nondisp underpads, all sizes",N
A4554,,Disposable underpads,N
A4555,,Ca tx e-stim electr/transduc,I
A4556,,"Electrodes, pair",P
A4557,,"Lead wires, pair",P
A4558,,Conductive gel or paste,P
A4559,,Coupling gel or paste,X
A4560,,Nmes disposable,N
A4561,,"Pessary rubber, any type",X
A4562,,"Pessary, non rubber,any type",X
A4563,,Vag inser rectal control sys,X
A4565,,Slings,X
A4566,,Should sling/vest/abrestrain,I
A4570,,Splint,I
A4575,,Hyperbaric o2 chamber disps,X
A4580,,Cast supplies (plaster),I
A4590,,Special casting material,I
A4595,,Tens suppl 2 lead per month,X
A4596,,Ces system monthly supp,X
A4600,,"Sleeve, inter limb comp dev",X
A4601,,Lith ion non prosth recharge,X
A4602,,Replace lithium battery 1.5v,X
A4604,,Tubing with heating element,X
A4605,,Trach suction cath close sys,X
A4606,,Oxygen probe used w oximeter,X
A4608,,Transtracheal oxygen cath,X
A4611,,Heavy duty battery,X
A4612,,Battery cables,X
A4613,,Battery charger,X
A4614,,Hand-held pefr meter,X
A4615,,Cannula nasal,X
A4616,,Tubing (oxygen) per foot,X
A4617,,Mouth piece,X
A4618,,Breathing circuits,X
A4619,,Face tent,X
A4620,,Variable concentration mask,X
A4623,,Tracheostomy inner cannula,X
A4624,,Tracheal suction tube,X
A4625,,Trach care kit for new trach,X
A4626,,Tracheostomy cleaning brush,X
A4627,,Spacer bag/reservoir,N
A4628,,Oropharyngeal suction cath,X
A4629,,Tracheostomy care kit,X
A4630,,Repl bat t.e.n.s. own by pt,X
A4633,,Uvl replacement bulb,X
A4634,,Replacement bulb th lightbox,X
A4635,,Underarm crutch pad,X
A4636,,Handgrip for cane etc,X
A4637,,Repl tip cane/crutch/walker,X
A4638,,Repl batt pulse gen sys,X
A4639,,Infrared ht sys replcmnt pad,X
A4640,,Alternating pressure pad,X
A4641,,Radiopharm dx agent noc,C
A4642,,In111 satumomab,C
A4648,,Implantable tissue marker,X
A4649,,Surgical supplies,P
A4650,,Implant radiation dosimeter,X
A4651,,Calibrated microcap tube,X
A4652,,Microcapillary tube sealant,X
A4653,,Pd catheter anchor belt,X
A4657,,Syringe w/wo needle,X
A4660,,Sphyg/bp app w cuff and stet,X
A4663,,Dialysis blood pressure cuff,X
A4670,,"Automatic bp monitor, dial",N
A4671,,Disposable cycler set,X
A4672,,"Drainage ext line, dialysis",X
A4673,,Ext line w easy lock connect,X
A4674,,"Chem/antisept solution, 8oz",X
A4680,,"Activated carbon filter, ea",X
A4690,,"Dialyzer, each",X
A4706,,Bicarbonate conc sol per gal,X
A4707,,Bicarbonate conc pow per pac,X
A4708,,Acetate conc sol per gallon,X
A4709,,Acid conc sol per gallon,X
A4714,,Treated water per gallon,X
A4719,,"""y set"" tubing",X
A4720,,Dialysat sol fld vol > 249cc,X
A4721,,Dialysat sol fld vol > 999cc,X
A4722,,Dialys sol fld vol > 1999cc,X
A4723,,Dialys sol fld vol > 2999cc,X
A4724,,Dialys sol fld vol > 3999cc,X
A4725,,Dialys sol fld vol > 4999cc,X
A4726,,Dialys sol fld vol > 5999cc,X
A4728,,"Dialysate solution, non-dex",X
A4730,,"Fistula cannulation set, ea",X
A4736,,"Topical anesthetic, per gram",X
A4737,,Inj anesthetic per 10 ml,X
A4740,,Shunt accessory,X
A4750,,Art or venous blood tubing,X
A4755,,Comb art/venous blood tubing,X
A4760,,"Dialysate sol test kit, each",X
A4765,,Dialysate conc pow per pack,X
A4766,,Dialysate conc sol add 10 ml,X
A4770,,Blood collection tube/vacuum,X
A4771,,Serum clotting time tube,X
A4772,,Blood glucose test strips,X
A4773,,Occult blood test strips,X
A4774,,Ammonia test strips,X
A4802,,Protamine sulfate per 50 mg,X
A4860,,Disposable catheter tips,X
A4870,,Plumb/elec wk hm hemo equip,X
A4890,,Repair/maint cont hemo equip,R
A4911,,Drain bag/bottle,X
A4913,,Misc dialysis supplies noc,X
A4918,,Venous pressure clamp,X
A4927,,Non-sterile gloves,X
A4928,,Surgical mask,X
A4929,,"Tourniquet for dialysis, ea",X
A4930,,"Sterile, gloves per pair",X
A4931,,Reusable oral thermometer,X
A4932,,Reusable rectal thermometer,X
A5051,,Pouch clsd w barr attached,P
A5052,,Clsd ostomy pouch w/o barr,P
A5053,,Clsd ostomy pouch faceplate,P
A5054,,Clsd ostomy pouch w/flange,P
A5055,,Stoma cap,P
A5056,,1 pc ost pouch w filter,X
A5057,,1 pc ost pou w built-in conv,X
A5061,,Pouch drainable w barrier at,P
A5062,,Drnble ostomy pouch w/o barr,P
A5063,,Drain ostomy pouch w/flange,P
A5071,,Urinary pouch w/barrier,P
A5072,,Urinary pouch w/o barrier,P
A5073,,Urinary pouch on barr w/flng,P
A5081,,"Stoma plug or seal, any type",P
A5082,,Continent stoma catheter,P
A5083,,Stoma absorptive cover,X
A5093,,Ostomy accessory convex inse,P
A5102,,Bedside drain btl w/wo tube,P
A5105,,Urinary suspensory,P
A5112,,Urinary leg bag,P
A5113,,Latex leg strap,P
A5114,,Foam/fabric leg strap,P
A5120,,"Skin barrier, wipe or swab",X
A5121,,Solid skin barrier 6x6,P
A5122,,Solid skin barrier 8x8,P
A5126,,Disk/foam pad +or- adhesive,P
A5131,,Appliance cleaner,P
A5200,,Percutaneous catheter anchor,X
A5500,,Diab shoe for density insert,X
A5501,,Diabetic custom molded shoe,X
A5503,,Diabetic shoe w/roller/rockr,X
A5504,,Diabetic shoe with wedge,X
A5505,,Diab shoe w/metatarsal bar,X
A5506,,Diabetic shoe w/off set heel,X
A5507,,Modification diabetic shoe,X
A5508,,Diabetic deluxe shoe,X
A5510,,Compression form shoe insert,X
A5512,,Multi den insert direct form,X
A5513,,Multi den insert custom mold,X
A5514,,Mult den insert dir carv/cam,X
A6000,,Wound warming wound cover,N
A6010,,Collagen based wound filler,X
A6011,,Collagen gel/paste wound fil,X
A6021,,Collagen dressing <=16 sq in,X
A6022,,Collagen drsg>16<=48 sq in,X
A6023,,Collagen dressing >48 sq in,X
A6024,,Collagen dsg wound filler,X
A6025,,"Silicone gel sheet, each",X
A6154,,Wound pouch each,P
A6196,,Alginate dressing <=16 sq in,P
A6197,,Alginate drsg >16 <=48 sq in,P
A6198,,Alginate dressing > 48 sq in,P
A6199,,Alginate drsg wound filler,P
A6203,,Composite drsg <= 16 sq in,P
A6204,,Composite drsg >16<=48 sq in,P
A6205,,Composite drsg > 48 sq in,P
A6206,,Contact layer <= 16 sq in,P
A6207,,Contact layer >16<= 48 sq in,P
A6208,,Contact layer > 48 sq in,P
A6209,,Foam drsg <=16 sq in w/o bdr,P
A6210,,Foam drg >16<=48 sq in w/o b,P
A6211,,Foam drg > 48 sq in w/o brdr,P
A6212,,Foam drg <=16 sq in w/border,P
A6213,,Foam drg >16<=48 sq in w/bdr,P
A6214,,Foam drg > 48 sq in w/border,P
A6215,,Foam dressing wound filler,P
A6216,,Non-sterile gauze<=16 sq in,P
A6217,,Non-sterile gauze>16<=48 sq,P
A6218,,Non-sterile gauze > 48 sq in,P
A6219,,Gauze <= 16 sq in w/border,P
A6220,,Gauze >16 <=48 sq in w/bordr,P
A6221,,Gauze > 48 sq in w/border,P
A6222,,Gauze <=16 in no w/sal w/o b,P
A6223,,Gauze >16<=48 no w/sal w/o b,P
A6224,,Gauze > 48 in no w/sal w/o b,P
A6228,,Gauze <= 16 sq in water/sal,P
A6229,,Gauze >16<=48 sq in watr/sal,P
A6230,,Gauze > 48 sq in water/salne,P
A6231,,Hydrogel dsg<=16 sq in,X
A6232,,Hydrogel dsg>16<=48 sq in,X
A6233,,Hydrogel dressing >48 sq in,X
A6234,,Hydrocolld drg <=16 w/o bdr,P
A6235,,Hydrocolld drg >16<=48 w/o b,P
A6236,,Hydrocolld drg > 48 in w/o b,P
A6237,,Hydrocolld drg <=16 in w/bdr,P
A6238,,Hydrocolld drg >16<=48 w/bdr,P
A6239,,Hydrocolld drg > 48 in w/bdr,P
A6240,,Hydrocolld drg filler paste,P
A6241,,Hydrocolloid drg filler dry,P
A6242,,Hydrogel drg <=16 in w/o bdr,P
A6243,,Hydrogel drg >16<=48 w/o bdr,P
A6244,,Hydrogel drg >48 in w/o bdr,P
A6245,,Hydrogel drg <= 16 in w/bdr,P
A6246,,Hydrogel drg >16<=48 in w/b,P
A6247,,Hydrogel drg > 48 sq in w/b,P
A6248,,Hydrogel drsg gel filler,P
A6250,,Skin seal protect moisturizr,P
A6251,,Absorpt drg <=16 sq in w/o b,P
A6252,,Absorpt drg >16 <=48 w/o bdr,P
A6253,,Absorpt drg > 48 sq in w/o b,P
A6254,,Absorpt drg <=16 sq in w/bdr,P
A6255,,Absorpt drg >16<=48 in w/bdr,P
A6256,,Absorpt drg > 48 sq in w/bdr,P
A6257,,Transparent film <= 16 sq in,P
A6258,,Transparent film >16<=48 in,P
A6259,,Transparent film > 48 sq in,P
A6260,,Wound cleanser any type/size,P
A6261,,Wound filler gel/paste /oz,P
A6262,,Wound filler dry form / gram,P
A6266,,Impreg gauze no h20/sal/yard,P
A6402,,Sterile gauze <= 16 sq in,P
A6403,,Sterile gauze>16 <= 48 sq in,P
A6404,,Sterile gauze > 48 sq in,P
A6407,,"Packing strips, non-impreg",X
A6410,,Sterile eye pad,X
A6411,,Non-sterile eye pad,X
A6412,,Occlusive eye patch,X
A6413,,"Adhesive bandage, first-aid",N
A6441,,"Pad band w>=3"" <5""/yd",X
A6442,,"Conform band n/s w<3""/yd",X
A6443,,"Conform band n/s w>=3""<5""/yd",X
A6444,,"Conform band n/s w>=5""/yd",X
A6445,,"Conform band s w <3""/yd",X
A6446,,"Conform band s w>=3"" <5""/yd",X
A6447,,"Conform band s w >=5""/yd",X
A6448,,"Lt compres band <3""/yd",X
A6449,,"Lt compres band >=3"" <5""/yd",X
A6450,,"Lt compres band >=5""/yd",X
A6451,,"Mod compres band w>=3""<5""/yd",X
A6452,,"High compres band w>=3""<5""yd",X
A6453,,"Self-adher band w <3""/yd",X
A6454,,"Self-adher band w>=3"" <5""/yd",X
A6455,,"Self-adher band >=5""/yd",X
A6456,,"Zinc paste band w >=3""<5""/yd",X
A6457,,Tubular dressing,X
A6460,,Synthetic drsg <= 16 sq in,X
A6461,,Synthetic drsg >16<=48 sq in,X
A6501,,Compres burngarment bodysuit,X
A6502,,Compres burngarment chinstrp,X
A6503,,Compres burngarment facehood,X
A6504,,Cmprsburngarment glove-wrist,X
A6505,,Cmprsburngarment glove-elbow,X
A6506,,Cmprsburngrmnt glove-axilla,X
A6507,,Cmprs burngarment foot-knee,X
A6508,,Cmprs burngarment foot-thigh,X
A6509,,Compres burn garment jacket,X
A6510,,Compres burn garment leotard,X
A6511,,Compres burn garment panty,X
A6512,,"Compres burn garment, noc",X
A6513,,Compress burn mask face/neck,X
A6520,,G com garmnt glove nghttime,X
A6521,,G com garmnt glove nght cust,X
A6522,,G com garment arm nighttime,X
A6523,,G com garment arm nght custm,X
A6524,,G com garmnt lwr leg/ft nght,X
A6525,,G com garm lwrleg/ft ngt cus,X
A6526,,G com garmt full leg/ft nght,X
A6527,,G garmt full leg/ft nght cus,X
A6528,,G com garment bra nighttime,X
A6529,,G com garmt bra night custm,X
A6530,,Compression stocking bk18-30,X
A6531,,Compress stking bk30-40 surg,X
A6532,,Compress stking bk40-50 surg,X
A6533,,Gc stocking thighlngth 18-30,X
A6534,,Gc stocking thighlngth 30-40,X
A6535,,Gc stocking thighlngth 40+,X
A6536,,Gc stocking full lngth 18-30,X
A6537,,Gc stocking full lngth 30-40,X
A6538,,Gc stocking full lngth 40+,X
A6539,,Gc stocking waistlngth 18-30,X
A6540,,Gc stocking waistlngth 30-40,X
A6541,,Gc stocking waistlngth 40+,X
A6544,,Gc stocking garter belt,N
A6545,,Grad com non-elastic bk surg,X
A6549,,G compression garment,X
A6550,,Neg pres wound ther drsg set,X
A6552,,Grad com stocking bk 30-40,X
A6553,,G com stcking bk 30-40 custm,X
A6554,,Grad com stocking bk 40+,X
A6555,,G com stcking bk 40+ custm,X
A6556,,G com stcking thgh18-30 cust,X
A6557,,G com stcking thgh30-40 cust,X
A6558,,G com stcking thgh 40+ cust,X
A6559,,G stckng full/chap18-30 cust,X
A6560,,G stckng full/chap30-40 cust,X
A6561,,G stockng full/chap 40+ cust,X
A6562,,G com stckng waist18-30 cust,X
A6563,,G com stckng waist30-40 cust,X
A6564,,G com stckng waist 40+ cust,X
A6565,,Grad comp gauntlet custom,X
A6566,,Grad com garment neck/head,X
A6567,,G com garment neck/head cust,X
A6568,,G com garment torso/shldr,X
A6569,,G com garmnt torso/shdr cust,X
A6570,,Grad com garment genital,X
A6571,,G com garment genital custm,X
A6572,,Grad com garment toe caps,X
A6573,,Grad com garmnt toe cap cust,X
A6574,,Custom gradient sleev/glov,X
A6575,,Gradient comp sleev/glov,X
A6576,,Custom grad com sleeve med,X
A6577,,Custom grad cm sleeve heavy,X
A6578,,Gradient comp sleeve,X
A6579,,Custom grad com glove med,X
A6580,,Custom grad com glove heavy,X
A6581,,Gradient comp glove,X
A6582,,Gradient comp gauntlet,X
A6583,,Grad com wrap w straps bk,X
A6584,,Grad com wrap w straps,X
A6585,,Grad com wrap w straps ak,X
A6586,,Grad com wrap w straps leg,X
A6587,,Grad com wrap w straps foot,X
A6588,,Grad com wrap w straps arm,X
A6589,,Grad com wrap w straps bra,X
A6590,,Urinary cath disp suc pump,X
A6591,,Urinary cath suc pump,X
A6593,,Grad com accessory gmt_wrap,X
A6594,,G comp bandge liner lwr extr,X
A6595,,G comp bandge liner upr extr,X
A6596,,G comp bandge conform gauze,X
A6597,,G comp bandage long stretch,X
A6598,,G comp bandage med stretch,X
A6599,,G comp bandage short stretch,X
A6600,,G com bandge hgh dn foam sht,X
A6601,,G com bandge hgh dn foam pad,X
A6602,,G com bandge hgh dn foamroll,X
A6603,,G com bandge low dn foamchnl,X
A6604,,G com bandge low dn foam flt,X
A6605,,G com bandage padded foam,X
A6606,,G com bandage padded textile,X
A6607,,G com bandage tub protct lyr,X
A6608,,G com bandage tub protct pad,X
A6609,,G compression bandaging,X
A6610,,G com stcking bk 18-30 custm,X
A7000,,Disposable canister for pump,X
A7001,,Nondisposable pump canister,X
A7002,,Tubing used w suction pump,X
A7003,,Nebulizer administration set,X
A7004,,Disposable nebulizer sml vol,X
A7005,,Nondisposable nebulizer set,X
A7006,,Filtered nebulizer admin set,X
A7007,,Lg vol nebulizer disposable,X
A7008,,Disposable nebulizer prefill,X
A7009,,Nebulizer reservoir bottle,X
A7010,,Disposable corrugated tubing,X
A7012,,Nebulizer water collec devic,X
A7013,,Disposable compressor filter,X
A7014,,Compressor nondispos filter,X
A7015,,Aerosol mask used w nebulize,X
A7016,,Nebulizer dome & mouthpiece,X
A7017,,Nebulizer not used w oxygen,X
A7018,,Water distilled w/nebulizer,X
A7020,,"Interface, cough stim device",X
A7023,,Mech allergen parti barrier,N
A7025,,Replace chest compress vest,X
A7026,,Replace chst cmprss sys hose,X
A7027,,Combination oral/nasal mask,X
A7028,,Repl oral cushion combo mask,X
A7029,,Repl nasal pillow comb mask,X
A7030,,Cpap full face mask,X
A7031,,Replacement facemask interfa,X
A7032,,Replacement nasal cushion,X
A7033,,Replacement nasal pillows,X
A7034,,Nasal application device,X
A7035,,Pos airway press headgear,X
A7036,,Pos airway press chinstrap,X
A7037,,Pos airway pressure tubing,X
A7038,,Pos airway pressure filter,X
A7039,,"Filter, non disposable w pap",X
A7040,,One way chest drain valve,X
A7041,,Water seal drain container,X
A7044,,Pap oral interface,X
A7045,,Repl exhalation port for pap,X
A7046,,"Repl water chamber, pap dev",X
A7047,,Resp suction oral interface,X
A7048,,Vacuum drain bottle/tube kit,X
A7049,,Epap nasal valve,N
A7501,,Tracheostoma valve w diaphra,X
A7502,,Replacement diaphragm/fplate,X
A7503,,Hmes filter holder or cap,X
A7504,,Tracheostoma hmes filter,X
A7505,,Hmes or trach valve housing,X
A7506,,Hmes/trachvalve adhesivedisk,X
A7507,,Integrated filter & holder,X
A7508,,Housing & integrated adhesiv,X
A7509,,Heat & moisture exchange sys,X
A7520,,Trach/laryn tube non-cuffed,X
A7521,,Trach/laryn tube cuffed,X
A7522,,Trach/laryn tube stainless,X
A7523,,Tracheostomy shower protect,X
A7524,,Tracheostoma stent/stud/bttn,X
A7525,,Tracheostomy mask,X
A7526,,Tracheostomy tube collar,X
A7527,,Trach/laryn tube plug/stop,X
A8000,,Soft protect helmet prefab,X
A8001,,Hard protect helmet prefab,X
A8002,,Soft protect helmet custom,X
A8003,,Hard protect helmet custom,X
A8004,,"Repl soft interface, helmet",X
A9150,,Misc/exper non-prescript dru,E
A9152,,Single vitamin nos,I
A9153,,Multi-vitamin nos,I
A9155,,Artificial saliva,X
A9156,,Oral mucoadhesive per 1 ml,X
A9180,,"Lice treatment, topical",I
A9268,,Programmer orally ingest cap,N
A9269,,Programable ingest capsule,N
A9270,,Non-covered item or service,N
A9272,,"Disp wound suct, drsg/access",X
A9273,,Hot/cold botle/cap/col/wrap,N
A9274,,Ext amb insulin delivery sys,I
A9275,,Disp home glucose monitor,N
A9276,,"Disposable sensor, cgm sys",N
A9277,,"External transmitter, cgm",N
A9278,,"External receiver, cgm sys",N
A9279,,Monitoring feature/devicenoc,I
A9280,,"Alert device, noc",N
A9281,,Reaching/grabbing device,N
A9282,,Wig any type,N
A9283,,Foot press off load supp dev,N
A9284,,Non-electronic spirometer,X
A9285,,Inversion eversion cor devic,X
A9286,,"Any hygienic item, device",N
